gtvid,status,predicted_probability,actual_label,residual,model_roc_auc
GVW109,Temporarily Deactivated,0.00835339142710312,0,0.00835339142710312,0.8699592181637268
TAW027,Temporarily Deactivated,0.00021913809047223923,0,0.00021913809047223923,0.8699592181637268
MWW125,Temporarily Deactivated,0.01065485822909012,0,0.01065485822909012,0.8699592181637268
MWW126,Temporarily Deactivated,0.020291975165961127,0,0.020291975165961127,0.8699592181637268
BIW054,Temporarily Deactivated,0.007714035792952029,0,0.007714035792952029,0.8699592181637268
BIW055,Temporarily Deactivated,0.002801982220109837,0,0.002801982220109837,0.8699592181637268
SLW081,Temporarily Deactivated,0.15010383104682012,0,0.15010383104682012,0.8699592181637268
RMG033,Deactivated,0.011824557286469365,0,0.011824557286469365,0.8699592181637268
MNG256,Deactivated,0.015410747858848552,0,0.015410747858848552,0.8699592181637268
LEG072,Deactivated,0.029184743990760532,0,0.029184743990760532,0.8699592181637268
SFW122,Temporarily Deactivated,0.001198168952929737,0,0.001198168952929737,0.8699592181637268
ORG358,Temporarily Deactivated,0.0035814186986762794,0,0.0035814186986762794,0.8699592181637268
WBG050,Temporarily Deactivated,0.009211523162204973,0,0.009211523162204973,0.8699592181637268
LRW050,Temporarily Deactivated,0.020198408567214603,0,0.020198408567214603,0.8699592181637268
TPG291,Temporarily Deactivated,0.01646140487740808,0,0.01646140487740808,0.8699592181637268
MAW262,Temporarily Deactivated,0.06317105862701666,0,0.06317105862701666,0.8699592181637268
MAW263,Temporarily Deactivated,0.082854810373216,0,0.082854810373216,0.8699592181637268
ING105,Temporarily Deactivated,0.012031512239118592,0,0.012031512239118592,0.8699592181637268
BRG065,Temporarily Deactivated,0.07417004317901785,0,0.07417004317901785,0.8699592181637268
LRG138,Temporarily Deactivated,0.012159941700999766,0,0.012159941700999766,0.8699592181637268
BIG143,Temporarily Deactivated,0.0019352836064356477,0,0.0019352836064356477,0.8699592181637268
LRG139,Temporarily Deactivated,0.004269863642770771,0,0.004269863642770771,0.8699592181637268
SLG094,Temporarily Deactivated,0.03956795353262917,0,0.03956795353262917,0.8699592181637268
MYG088,Temporarily Deactivated,0.0322654315387917,0,0.0322654315387917,0.8699592181637268
MSG036,Temporarily Deactivated,0.0011341463449138776,0,0.0011341463449138776,0.8699592181637268
HOG597,Temporarily Deactivated,0.027124144781771744,0,0.027124144781771744,0.8699592181637268
GVG047,Temporarily Deactivated,0.013433735298825895,0,0.013433735298825895,0.8699592181637268
SNG016,Temporarily Deactivated,0.0017312136669183759,0,0.0017312136669183759,0.8699592181637268
DOG010,Temporarily Deactivated,0.00041276555139273995,0,0.00041276555139273995,0.8699592181637268
MAG155,Temporarily Deactivated,0.0004960847502291721,0,0.0004960847502291721,0.8699592181637268
RPG064,Temporarily Deactivated,0.03282274844409963,0,0.03282274844409963,0.8699592181637268
NAG158,Deactivated,0.006200548210748041,0,0.006200548210748041,0.8699592181637268
ATG530,Temporarily Deactivated,0.004933873581472306,0,0.004933873581472306,0.8699592181637268
TPG292,Temporarily Deactivated,0.009629585222614315,0,0.009629585222614315,0.8699592181637268
DFG101,Temporarily Deactivated,0.01012323140323022,0,0.01012323140323022,0.8699592181637268
CHG241,Temporarily Deactivated,0.019684990644777148,0,0.019684990644777148,0.8699592181637268
DCG376,Temporarily Deactivated,0.02214025980167973,0,0.02214025980167973,0.8699592181637268
SAG108,Temporarily Deactivated,0.013165709901241295,0,0.013165709901241295,0.8699592181637268
DTG112,Temporarily Deactivated,0.034378580062467856,0,0.034378580062467856,0.8699592181637268
TLG052,Temporarily Deactivated,0.12801514910029232,0,0.12801514910029232,0.8699592181637268
